REF_DATE,GEO,DGUID,Vehicle type,Origin of manufacture,Sales,Seasonal adjustment,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1956-08,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,31921.0,,,,0
1956-09,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,23445.0,,,,0
1956-10,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,23332.0,,,,0
1956-11,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,22690.0,,,,0
1956-12,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,23537.0,,,,0
1957-01,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,24498.0,,,,0
1957-02,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,24423.0,,,,0
1957-03,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,34313.0,,,,0
1957-04,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,40446.0,,,,0
1957-05,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,39239.0,,,,0
1957-06,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,34030.0,,,,0
1957-07,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,30981.0,,,,0
1957-08,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,27209.0,,,,0
1957-09,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,22307.0,,,,0
1957-10,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,17319.0,,,,0
1957-11,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,18375.0,,,,0
1957-12,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,19450.0,,,,0
1958-01,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,22998.0,,,,0
1958-02,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,22593.0,,,,0
1958-03,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,28871.0,,,,0
1958-04,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,35309.0,,,,0
1958-05,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,32413.0,,,,0
1958-06,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,30784.0,,,,0
1958-07,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,26464.0,,,,0
1958-08,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,19871.0,,,,0
1958-09,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,16247.0,,,,0
1958-10,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,20000.0,,,,0
1958-11,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,20276.0,,,,0
1958-12,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,23731.0,,,,0
1959-01,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,22733.0,,,,0
1959-02,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,24880.0,,,,0
1959-03,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,32225.0,,,,0
1959-04,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,37148.0,,,,0
1959-05,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,34700.0,,,,0
1959-06,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,35827.0,,,,0
1959-07,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,25570.0,,,,0
1959-08,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,21299.0,,,,0
1959-09,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,16862.0,,,,0
1959-10,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,23508.0,,,,0
1959-11,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,20220.0,,,,0
1959-12,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,15948.0,,,,0
1960-01,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,21415.0,,,,0
1960-02,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,25385.0,,,,0
1960-03,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,32092.0,,,,0
1960-04,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,35607.0,,,,0
1960-05,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,36409.0,,,,0
1960-06,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,36290.0,,,,0
